,FN,FP,TN,TP,t,ts
232,2252,2914,60666,3178,23.66666666666667,45
233,3035,2426,61814,1735,25.66666666666667,45
234,1838,2810,62110,2252,27.66666666666667,45
235,1889,2609,63051,1461,31.33333333333333,45
236,1362,3478,62902,1268,34.333333333333336,45
237,1726,1544,65416,324,38.66666666666666,45
238,1214,814,66846,136,46.0,45
239,650,0,68360,0,53.0,45
240,2477,1084,116,65333,2.333333333333333,55
241,4762,2704,596,60948,2.6666666666666665,55
242,7390,5314,2226,54080,3.0,55
243,8185,8689,4411,47725,3.333333333333333,55
244,12056,10852,6788,39314,3.6666666666666665,55
245,13101,11650,9130,35129,4.0,55
246,14910,11870,10830,31400,4.333333333333333,55
247,14444,12883,11307,30376,4.666666666666667,55
248,13425,14364,10706,30515,5.0,55
249,13795,12875,12425,29915,5.333333333333333,55
250,13078,13404,13126,29402,6.333333333333332,55
251,14345,12320,15350,26995,6.666666666666668,55
252,14041,12982,16578,25409,7.0,55
253,13147,13285,18005,24573,7.333333333333332,55
254,13308,11570,21690,22442,7.666666666666668,55
255,12386,10495,24345,21784,8.0,55
256,11009,11551,25269,21181,8.333333333333334,55
257,9824,11781,27039,20366,8.666666666666666,55
258,8279,10326,31504,18901,9.0,55
259,6672,10118,33132,19088,9.333333333333334,55
260,7794,8017,37403,15796,9.666666666666666,55
261,6285,7088,39502,16135,10.0,55
262,6311,7520,40330,14849,10.333333333333334,55
263,6142,6388,42462,14018,10.666666666666666,55
264,6290,6727,42943,13050,11.0,55
265,5517,7659,43051,12783,11.333333333333336,55
266,4962,6922,45028,12098,11.666666666666664,55
267,4778,5825,47145,11262,12.0,55
268,5102,6170,47970,9768,12.333333333333336,55
269,4574,5414,49966,9056,12.666666666666664,55
270,5456,5904,50276,7374,13.0,55
271,3685,3887,53273,8165,13.333333333333336,55
272,3765,4098,53472,7675,13.666666666666664,55
273,4181,3975,54955,5899,14.333333333333336,55
274,4389,3854,55926,4841,14.666666666666664,55
275,4600,3303,56997,4110,15.0,55
276,4373,3245,57645,3747,15.666666666666664,55
277,3332,2486,59044,4148,17.333333333333332,55
278,3349,2397,59863,3401,20.0,55
279,3325,2277,60653,2755,22.66666666666667,55
280,2618,2624,60956,2812,23.66666666666667,55
281,2308,2356,61884,2462,25.66666666666667,55
282,2325,2262,62658,1765,27.66666666666667,55
283,1873,1773,63887,1477,31.33333333333333,55
284,1571,2355,64025,1059,34.333333333333336,55
285,1615,1760,65200,435,38.66666666666666,55
286,1219,962,66698,131,46.0,55
287,559,864,67496,91,53.0,55
288,1767,1102,98,66043,2.333333333333333,65
289,4911,2708,592,60799,2.6666666666666665,65
290,6468,5014,2526,55002,3.0,65
291,8989,8691,4409,46921,3.333333333333333,65
292,11226,10460,7180,40144,3.6666666666666665,65
293,13134,11561,9219,35096,4.0,65
294,13311,12613,10087,32999,4.333333333333333,65
295,13703,13203,10987,31117,4.666666666666667,65
296,13135,12984,12086,30805,5.0,65
297,13560,13519,11781,30150,5.333333333333333,65
298,13383,13288,13242,29097,6.333333333333332,65
299,13307,13844,13826,28033,6.666666666666668,65
300,14250,12051,17509,25200,7.0,65
301,13350,12595,18695,24370,7.333333333333332,65
302,13062,10826,22444,22678,7.666666666666668,65
303,10906,11153,23687,23264,8.0,65
304,11776,10636,26184,20414,8.333333333333334,65
305,11592,10265,28555,18598,8.666666666666666,65
306,9489,9609,32221,17691,9.0,65
307,7405,8331,34919,18355,9.333333333333334,65
308,7390,7095,38325,16200,9.666666666666666,65
309,6339,5449,41141,16081,10.0,65
310,6764,5718,42132,14396,10.333333333333334,65
311,6858,5980,42870,13302,10.666666666666666,65
312,5574,6309,43361,13766,11.0,65
