FN,FP,MAE,MSE,TN,TP,sr,t
937.8,667.4,15.056832343138675,7769.416437284452,714.6,4581.2,25,88.64
516.6,650.1,16.82680915809303,7224.664760541951,1419.9,4314.4,25,133.15
184.2,313.3,13.116805970149255,6106.637383518331,2447.7,3955.8,25,150.72
323.6,511.3,11.903178814664543,5316.806219537748,2943.7,3122.4,25,190.94
913.1,563.0,13.674242863353138,6514.292638904507,3579.0,1845.9,25,240.02
898.7,789.6,14.430288364005218,6781.182810598465,4049.4,1163.3,25,417.38
801.9,809.6,12.958024054484858,7290.201197325026,4711.4,578.1,25,485.21
529.2,316.7,13.813744529778294,7265.903764821041,5894.3,160.8,25,580.87
463.0,458.4,16.99954180553543,10039.48159553108,231.6,5748.0,30,67.03
820.9,616.1,13.084142153311111,6742.30508609332,765.9,4698.1,30,88.64
497.4,695.2,13.588791914215332,7724.013190785394,1374.8,4333.6,30,133.15
195.7,174.0,13.18975742645993,7429.138064718156,2587.0,3944.3,30,150.72
543.3,428.8,11.752543544413854,5272.926040673816,3026.2,2902.7,30,190.94
720.3,674.2,19.32234342848863,14524.401115371686,3467.8,2038.7,30,240.02
824.0,862.3,13.562058252427184,7542.6702408433575,3976.7,1238.0,30,417.38
731.2,772.3,16.28928517606144,11651.066270130414,4748.7,648.8,30,485.21
489.0,455.0,13.570138385741197,6262.302447200405,5756.0,201.0,30,580.87
557.2,403.9,12.408604405158673,6241.177260375307,286.1,5653.8,35,67.03
756.6,746.1,12.36493203883495,5441.738839061005,635.9,4762.4,35,88.64
594.4,580.3,12.778880741921462,5833.229774693524,1489.7,4236.6,35,133.15
223.9,109.8,12.473700912911173,5693.866468184322,2651.2,3916.1,35,150.72
412.6,477.1,12.14305897695986,5667.831620292711,2977.9,3033.4,35,190.94
722.6,740.0,12.820816258513258,7171.729096909144,3402.0,2036.4,35,240.02
789.3,821.6,15.859568178524853,10541.893239292855,4017.4,1272.7,35,417.38
740.1,732.3,11.78010723083611,5150.759827772787,4788.7,639.9,35,485.21
427.4,455.4,12.842452543109696,5530.713088626285,5755.6,262.6,35,580.87
461.8,456.4,16.20047630778148,15115.685903554555,233.6,5749.2,40,67.03
681.5,739.4,12.307118243732791,5894.032559204463,642.6,4837.5,40,88.64
532.4,655.3,15.049580350673816,9886.629324089263,1414.7,4298.6,40,133.15
203.8,193.1,13.422077814809446,6462.723332396755,2567.9,3936.2,40,150.72
337.1,389.2,18.011566729459496,21354.78699277786,3065.8,3108.9,40,190.94
826.7,692.6,14.59802927112013,5218.3697598840745,3449.4,1932.3,40,240.02
832.7,723.4,12.675960005796261,5729.656049471091,4115.6,1229.3,40,417.38
685.9,684.3,14.137356470076801,7124.8411773467615,4836.7,694.1,40,485.21
445.7,416.0,12.700744529778294,7387.065893629908,5795.0,244.3,40,580.87
443.7,422.7,14.09901840312998,5780.080791212868,267.3,5767.3,45,67.03
686.8,744.8,13.013762788001738,6792.759389342124,637.2,4832.2,45,88.64
512.9,720.8,12.870843356035357,4927.662021521518,1349.2,4318.1,45,133.15
