FN,FP,MAE,MSE,TN,TP,sr,t
451.8,182.5,2.0121418634980435,79.05480259527604,6028.5,238.2,15,68.89
375.7,575.1,2.2977488769743517,142.76683933777716,117.9,5832.3,20,9.61
867.4,1002.1,2.179961599768149,135.00692414287784,377.9,4653.6,20,11.53
1195.9,1246.6,1.7107655412259093,58.498785742646,825.4,3633.1,20,14.25
1315.0,1409.8,2.002957542385162,93.71515274597884,1356.2,2820.0,20,23.42
1157.5,1557.6,3.166513983480655,287.2525127793073,1894.4,2291.5,20,28.11
1080.6,1431.1,2.1506652659034926,129.97851269526157,2709.9,1679.4,20,32.81
940.0,888.5,1.9045757136646866,98.64608026228083,3943.5,1129.0,20,37.91
691.2,756.1,2.0810617301840315,134.93231277640922,4765.9,687.8,20,46.1
362.2,498.7,2.109263440081148,127.8491456006376,5712.3,327.8,20,68.89
427.9,549.5,2.2521706998985653,139.2674957716273,143.5,5780.1,25,9.61
878.9,988.6,2.0396388929140707,95.17883339516013,391.4,4642.1,25,11.53
1086.2,1306.4,1.9499166787422113,110.01108181857703,765.6,3742.8,25,14.25
1564.5,1237.5,2.13698739313143,123.79888814374729,1528.5,2570.5,25,23.42
1242.3,1388.2,2.2265597739458047,101.86399330097086,2063.8,2206.7,25,28.11
1024.3,1084.5,1.924207506158528,95.61620333864656,3056.5,1735.7,25,32.81
1000.0,714.9,2.2183157513403855,134.0696175496305,4117.1,1069.0,25,37.91
622.1,681.4,1.619588175626721,63.5730226807709,4840.6,756.9,25,46.1
325.2,339.8,1.8089405883205334,75.14543397913346,5871.2,364.8,25,68.89
470.2,569.1,2.833970583973337,195.46359674974644,123.9,5737.8,30,9.61
1031.7,838.0,1.8033779162440227,80.00485473554558,542.0,4489.3,30,11.53
1224.2,1249.9,2.2115305028256778,110.6248547138096,822.1,3604.8,30,14.25
1388.5,1334.8,1.906881321547602,121.3388921373714,1431.2,2746.5,30,23.42
1273.3,1222.7,1.9013463266193305,88.20531781915665,2229.3,2175.7,30,28.11
982.5,1228.1,3.9552001159252277,372.6088056310679,2912.9,1777.5,30,32.81
830.9,786.4,1.9500411534560207,81.9271900333285,4045.6,1238.1,30,37.91
664.6,554.5,2.164528039414578,131.1095046428054,4967.5,714.4,30,46.1
520.7,256.7,1.9942050427474278,114.4013493769019,5954.3,169.3,30,68.89
626.8,461.7,1.6986833792204028,64.8123735342704,231.3,5581.2,35,9.61
998.4,863.6,2.1430989711635995,108.5366631154905,516.4,4522.6,35,11.53
1448.5,1097.8,1.9326459933342992,95.44804663092306,974.2,3380.5,35,14.25
1351.4,1342.1,1.752093609621794,86.15724648601652,1423.9,2783.6,35,23.42
1283.4,1298.9,2.043325894797855,104.25757531082452,2153.1,2165.6,35,28.11
947.8,1057.3,2.4632260541950446,159.21558880017392,3083.7,1812.2,35,32.81
769.0,729.8,1.8672148963918271,68.78176022605419,4102.2,1300.0,35,37.91
632.1,665.0,2.20753166207796,140.34459012317058,4857.0,746.9,35,46.1
371.5,348.1,1.9189779742066364,85.75456014635559,5862.9,318.5,35,68.89
586.2,506.6,2.1690912911172293,147.7869412708303,186.4,5621.8,40,9.61
874.4,946.0,2.060260107230836,119.37479073612522,434.0,4646.6,40,11.53
1135.4,1197.5,1.7261118678452398,77.10501621504129,874.5,3693.6,40,14.25
1374.0,1327.0,1.8885702072163455,84.97245337342414,1439.0,2761.0,40,23.42
1210.3,1251.8,1.725862193884944,66.37873577307637,2200.2,2238.7,40,28.11
868.7,988.5,2.014415157223591,108.58425503695116,3152.5,1891.3,40,32.81
784.9,822.1,2.0122175047094624,110.63075537313432,4009.9,1284.1,40,37.91
620.7,656.9,2.04951166497609,110.23295439791335,4865.1,758.3,40,46.1
294.6,337.9,1.9016232430082596,81.99438585132589,5873.1,395.4,40,68.89
419.9,486.6,2.0551346181712793,132.91820563324154,206.4,5788.1,45,9.61
903.7,839.2,1.6627238081437477,75.98428110273873,540.8,4617.3,45,11.53
1339.1,1149.1,2.3558165483263296,185.2284123098102,922.9,3489.9,45,14.25
1271.5,1459.9,2.2717445297782928,148.44516844515286,1306.1,2863.5,45,23.42
1280.2,1252.3,1.9571825097811906,101.05061996051296,2199.7,2168.8,45,28.11
