FN,FP,MAE,MSE,TN,TP,sr,t
317.0,315.2,91.42246022968065,243114.56223469012,5895.8,373.0,30,2946.427222222222
587.0,539.3,82.13109529200376,166278.30427979393,150.7,5624.0,35,466.56000000000006
1033.7,804.7,83.1377215741291,218725.4234866444,576.3,4486.3,35,552.8416666666667
1338.1,1120.1,98.85093230312118,273895.1727195197,949.9,3492.9,35,634.676923076923
1246.5,1478.7,86.73366784260284,222939.45625546706,1281.3,2894.5,35,1058.9727272727273
1176.5,1199.5,77.00024102488126,161898.48006439913,2250.9,2274.1,35,1244.48
999.9,911.4,81.70117916171891,212270.13374348474,3229.6,1760.1,35,1423.639285714286
848.2,740.5,77.59771140835933,164996.3557748372,4090.5,1221.8,35,1656.5029411764706
531.8,686.4,93.66041343106737,264041.04411018285,4834.6,848.2,35,2001.9504273504278
401.1,283.4,85.41294023272101,211255.77877890348,5927.6,288.9,35,2946.427222222222
557.0,533.6,76.77380297768948,159419.76323795647,156.4,5654.0,40,466.56000000000006
819.0,915.2,89.90236614992753,212740.48377986238,465.8,4701.0,40,552.8416666666667
1304.7,1124.9,126.38580109181012,520095.1090807966,945.1,3526.3,40,634.676923076923
1522.9,1166.7,76.97887818033598,147782.45863893098,1593.3,2618.1,40,1058.9727272727273
1258.5,1341.4,102.52411948172373,287759.60311861814,2109.6,2191.5,40,1244.48
1121.1,1106.4,87.27124168149383,235190.26327982373,3034.6,1638.9,40,1423.639285714286
629.2,839.5,80.55481667629039,179418.9966620703,3991.5,1440.8,40,1656.5029411764706
526.5,497.1,73.33296117394468,121034.45329016428,5023.9,853.5,40,2001.9504273504278
373.9,229.2,80.54573023581516,198893.18671756066,5981.8,316.1,40,2946.427222222222
580.0,481.8,82.66217031089313,270061.2702909324,208.2,5631.0,45,466.56000000000006
1015.1,900.3,84.10517174469058,227047.4450039193,480.7,4504.9,45,552.8416666666667
1281.3,1209.5,92.71988310368349,271694.37326607684,860.5,3549.7,45,634.676923076923
1416.8,1230.5,95.55723663288096,305848.2889615039,1529.5,2724.2,45,1058.9727272727273
1037.1,1261.4,70.53279834402557,114370.85967373538,2188.9,2413.6,45,1244.48
946.2,1151.0,84.78908040225427,180478.8532006663,2990.0,1813.8,45,1423.639285714286
795.7,661.0,80.62703114512531,200639.35135002027,4170.0,1274.3,45,1656.5029411764706
524.1,597.7,79.92718121423067,164955.14191252147,4923.3,855.9,45,2001.9504273504278
350.0,258.9,83.71258717929341,208825.12097552983,5952.1,340.0,45,2946.427222222222
502.9,518.7,85.79206178043515,182347.69853925298,171.3,5708.1,50,466.56000000000006
969.7,837.5,72.70877947175184,134025.84193967117,543.5,4550.3,50,552.8416666666667
1201.3,1143.2,107.36197086823465,386695.0687202314,926.8,3629.7,50,634.676923076923
1257.1,1459.1,99.76495512187199,263740.816615434,1300.9,2883.9,50,1058.9727272727273
1155.6,1312.3,98.7099968779572,264807.27414504986,2138.7,2294.4,50,1244.48
1029.9,1084.6,82.55655210448404,201636.76504338157,3056.4,1730.1,50,1423.639285714286
719.5,760.2,93.1757806673413,234010.4041108313,4070.8,1350.5,50,1656.5029411764706
524.2,445.4,75.58994033562429,151643.35354660652,5075.6,855.8,50,2001.9504273504278
342.2,323.0,79.50857242277709,131126.57892970872,5888.0,347.8,50,2946.427222222222
553.3,529.3,81.50480438517616,160445.9491214946,160.7,5657.7,55,466.56000000000006
922.2,906.9,86.70032837998114,227269.41676515798,474.1,4597.8,55,552.8416666666667
1303.4,1164.9,84.57757649944334,193718.44899020586,905.1,3527.6,55,634.676923076923
1321.9,1348.1,70.44338567241311,120803.57174244344,1411.9,2819.1,55,1058.9727272727273
1141.9,1373.1,82.7280124794069,170640.2236710706,2077.3,2308.7,55,1244.48
941.2,995.9,69.77717703261897,124880.30771118155,3145.1,1818.8,55,1423.639285714286
796.9,605.1,80.02545107573148,180470.205716827,4225.9,1273.1,55,1656.5029411764706
447.1,481.5,77.09615785756478,151872.50921887634,5039.5,932.9,55,2001.9504273504278
379.3,257.9,74.8636416092817,126330.94319727136,5953.1,310.7,55,2946.427222222222
589.5,485.6,91.11525213731313,284135.0871549427,204.4,5621.5,60,466.56000000000006
824.1,867.9,76.39118197615237,137672.703089547,513.1,4695.9,60,552.8416666666667
1091.6,1191.0,87.21602900332519,223231.0465127925,879.0,3739.4,60,634.676923076923
1299.4,1394.4,71.54186628340389,125365.92735150333,1365.6,2841.6,60,1058.9727272727273
1182.0,1107.5,72.52000103481097,139244.61213179355,2343.5,2268.0,60,1244.48
963.2,934.2,73.77495919010809,150493.57600003574,3206.8,1796.8,60,1423.639285714286
587.7,802.2,92.34963825491899,234687.61167140777,4028.8,1482.3,60,1656.5029411764706
459.0,414.3,70.450243144386,124937.49363725043,5106.7,921.0,60,2001.9504273504278
391.6,296.6,80.5208965635475,185264.5088149029,5914.4,298.4,60,2946.427222222222
551.0,502.8,70.54743068436157,129655.34531471421,187.2,5660.0,65,466.56000000000006
849.1,939.0,96.09453842014008,209104.90968280073,442.0,4670.9,65,552.8416666666667
1249.8,1175.5,73.09904973697269,136909.86117496798,894.5,3581.2,65,634.676923076923
1361.2,1267.4,78.32814541509597,161539.82307314366,1492.6,2779.8,65,1058.9727272727273
1087.4,1261.5,76.02964489830569,153717.36963282424,2189.1,2363.0,65,1244.48
