class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,mse,dataset,10.0,,40,1e-07,2,2,0.0,False,,./data2/video-0074-regression.csv,best
,entropy,dataset,10.0,,40,1e-07,4,2,0.0,False,,./data2/video-0075-classification.csv,best
,mse,dataset,10.0,,40,1e-07,4,2,0.0,False,,./data2/video-0075-regression.csv,best
,entropy,dataset,10.0,,40,1e-07,6,2,0.0,False,,./data2/video-0076-classification.csv,best
,mse,dataset,10.0,,40,1e-07,6,2,0.0,False,,./data2/video-0076-regression.csv,best
,entropy,dataset,10.0,,40,1e-07,8,2,0.0,False,,./data2/video-0077-classification.csv,best
,mse,dataset,10.0,,40,1e-07,8,2,0.0,False,,./data2/video-0077-regression.csv,best
,entropy,dataset,10.0,,40,1e-07,10,2,0.0,False,,./data2/video-0078-classification.csv,best
,mse,dataset,10.0,,40,1e-07,10,2,0.0,False,,./data2/video-0078-regression.csv,best
,entropy,dataset,10.0,,50,1e-07,1,2,0.0,False,,./data2/video-0079-classification.csv,best
,mse,dataset,10.0,,50,1e-07,1,2,0.0,False,,./data2/video-0079-regression.csv,best
,entropy,dataset,10.0,,50,1e-07,2,2,0.0,False,,./data2/video-0080-classification.csv,best
,mse,dataset,10.0,,50,1e-07,2,2,0.0,False,,./data2/video-0080-regression.csv,best
,entropy,dataset,10.0,,50,1e-07,4,2,0.0,False,,./data2/video-0081-classification.csv,best
,mse,dataset,10.0,,50,1e-07,4,2,0.0,False,,./data2/video-0081-regression.csv,best
,entropy,dataset,10.0,,50,1e-07,6,2,0.0,False,,./data2/video-0082-classification.csv,best
,mse,dataset,10.0,,50,1e-07,6,2,0.0,False,,./data2/video-0082-regression.csv,best
,entropy,dataset,10.0,,50,1e-07,8,2,0.0,False,,./data2/video-0083-classification.csv,best
,mse,dataset,10.0,,50,1e-07,8,2,0.0,False,,./data2/video-0083-regression.csv,best
,entropy,dataset,10.0,,50,1e-07,10,2,0.0,False,,./data2/video-0084-classification.csv,best
,mse,dataset,10.0,,50,1e-07,10,2,0.0,False,,./data2/video-0084-regression.csv,best
,entropy,dataset,10.0,,60,1e-07,1,2,0.0,False,,./data2/video-0085-classification.csv,best
,mse,dataset,10.0,,60,1e-07,1,2,0.0,False,,./data2/video-0085-regression.csv,best
,entropy,dataset,10.0,,60,1e-07,2,2,0.0,False,,./data2/video-0086-classification.csv,best
,mse,dataset,10.0,,60,1e-07,2,2,0.0,False,,./data2/video-0086-regression.csv,best
,entropy,dataset,10.0,,60,1e-07,4,2,0.0,False,,./data2/video-0087-classification.csv,best
,mse,dataset,10.0,,60,1e-07,4,2,0.0,False,,./data2/video-0087-regression.csv,best
,entropy,dataset,10.0,,60,1e-07,6,2,0.0,False,,./data2/video-0088-classification.csv,best
,mse,dataset,10.0,,60,1e-07,6,2,0.0,False,,./data2/video-0088-regression.csv,best
,entropy,dataset,10.0,,60,1e-07,8,2,0.0,False,,./data2/video-0089-classification.csv,best
,mse,dataset,10.0,,60,1e-07,8,2,0.0,False,,./data2/video-0089-regression.csv,best
,entropy,dataset,10.0,,60,1e-07,10,2,0.0,False,,./data2/video-0090-classification.csv,best
,mse,dataset,10.0,,60,1e-07,10,2,0.0,False,,./data2/video-0090-regression.csv,best
,entropy,dataset,10.0,,70,1e-07,1,2,0.0,False,,./data2/video-0091-classification.csv,best
,mse,dataset,10.0,,70,1e-07,1,2,0.0,False,,./data2/video-0091-regression.csv,best
,entropy,dataset,10.0,,70,1e-07,2,2,0.0,False,,./data2/video-0092-classification.csv,best
,mse,dataset,10.0,,70,1e-07,2,2,0.0,False,,./data2/video-0092-regression.csv,best
,entropy,dataset,10.0,,70,1e-07,4,2,0.0,False,,./data2/video-0093-classification.csv,best
,mse,dataset,10.0,,70,1e-07,4,2,0.0,False,,./data2/video-0093-regression.csv,best
,entropy,dataset,10.0,,70,1e-07,6,2,0.0,False,,./data2/video-0094-classification.csv,best
,mse,dataset,10.0,,70,1e-07,6,2,0.0,False,,./data2/video-0094-regression.csv,best
,entropy,dataset,10.0,,70,1e-07,8,2,0.0,False,,./data2/video-0095-classification.csv,best
,mse,dataset,10.0,,70,1e-07,8,2,0.0,False,,./data2/video-0095-regression.csv,best
,entropy,dataset,10.0,,70,1e-07,10,2,0.0,False,,./data2/video-0096-classification.csv,best
,mse,dataset,10.0,,70,1e-07,10,2,0.0,False,,./data2/video-0096-regression.csv,best
,entropy,dataset,10.0,,80,1e-07,1,2,0.0,False,,./data2/video-0097-classification.csv,best
,mse,dataset,10.0,,80,1e-07,1,2,0.0,False,,./data2/video-0097-regression.csv,best
,entropy,dataset,10.0,,80,1e-07,2,2,0.0,False,,./data2/video-0098-classification.csv,best
,mse,dataset,10.0,,80,1e-07,2,2,0.0,False,,./data2/video-0098-regression.csv,best
,entropy,dataset,10.0,,80,1e-07,4,2,0.0,False,,./data2/video-0099-classification.csv,best
,mse,dataset,10.0,,80,1e-07,4,2,0.0,False,,./data2/video-0099-regression.csv,best
,entropy,dataset,10.0,,80,1e-07,6,2,0.0,False,,./data2/video-0100-classification.csv,best
,mse,dataset,10.0,,80,1e-07,6,2,0.0,False,,./data2/video-0100-regression.csv,best
,entropy,dataset,10.0,,80,1e-07,8,2,0.0,False,,./data2/video-0101-classification.csv,best
,mse,dataset,10.0,,80,1e-07,8,2,0.0,False,,./data2/video-0101-regression.csv,best
,entropy,dataset,10.0,,80,1e-07,10,2,0.0,False,,./data2/video-0102-classification.csv,best
,mse,dataset,10.0,,80,1e-07,10,2,0.0,False,,./data2/video-0102-regression.csv,best
,entropy,dataset,10.0,,90,1e-07,1,2,0.0,False,,./data2/video-0103-classification.csv,best
,mse,dataset,10.0,,90,1e-07,1,2,0.0,False,,./data2/video-0103-regression.csv,best
,entropy,dataset,10.0,,90,1e-07,2,2,0.0,False,,./data2/video-0104-classification.csv,best
,mse,dataset,10.0,,90,1e-07,2,2,0.0,False,,./data2/video-0104-regression.csv,best
,entropy,dataset,10.0,,90,1e-07,4,2,0.0,False,,./data2/video-0105-classification.csv,best
,mse,dataset,10.0,,90,1e-07,4,2,0.0,False,,./data2/video-0105-regression.csv,best
,entropy,dataset,10.0,,90,1e-07,6,2,0.0,False,,./data2/video-0106-classification.csv,best
,mse,dataset,10.0,,90,1e-07,6,2,0.0,False,,./data2/video-0106-regression.csv,best
,entropy,dataset,10.0,,90,1e-07,8,2,0.0,False,,./data2/video-0107-classification.csv,best
,mse,dataset,10.0,,90,1e-07,8,2,0.0,False,,./data2/video-0107-regression.csv,best
,entropy,dataset,10.0,,90,1e-07,10,2,0.0,False,,./data2/video-0108-classification.csv,best
,mse,dataset,10.0,,90,1e-07,10,2,0.0,False,,./data2/video-0108-regression.csv,best
,entropy,dataset,20.0,,10,1e-07,1,2,0.0,False,,./data2/video-0109-classification.csv,best
,mse,dataset,20.0,,10,1e-07,1,2,0.0,False,,./data2/video-0109-regression.csv,best
,entropy,dataset,20.0,,10,1e-07,2,2,0.0,False,,./data2/video-0110-classification.csv,best
,mse,dataset,20.0,,10,1e-07,2,2,0.0,False,,./data2/video-0110-regression.csv,best
,entropy,dataset,20.0,,10,1e-07,4,2,0.0,False,,./data2/video-0111-classification.csv,best
,mse,dataset,20.0,,10,1e-07,4,2,0.0,False,,./data2/video-0111-regression.csv,best
,entropy,dataset,20.0,,10,1e-07,6,2,0.0,False,,./data2/video-0112-classification.csv,best
,mse,dataset,20.0,,10,1e-07,6,2,0.0,False,,./data2/video-0112-regression.csv,best
